index,episode,score,p_max_avg,actor_loss,critic_loss
0,125,0.7463000000000005,0.3681506356117065,-0.010242149785165527,0.005794271843908869
1,244,0.8063000000000001,0.4659906147488367,-0.004115234855657224,0.0028338402201743217
2,354,0.7953999999999998,0.4152946005287324,-0.010103452321604804,0.004898024171455229
3,464,0.8518000000000004,0.4300454326897233,-0.01038598750571667,0.00472294717274112
4,574,0.8035000000000003,0.45661318101979737,-0.005930647471170434,0.003252667253696212
5,682,0.8428000000000003,0.4268590032268048,-0.007869784362039355,0.004181112662922031
6,801,0.7994,0.44885272480269045,-0.0061026024946725845,0.0035233943648169375
7,916,0.7715000000000007,0.382184346716684,-0.009274333594362236,0.0044564979602721285
8,1020,0.9075000000000003,0.3823533888038297,-0.00791870637676516,0.004067111324772655
9,1130,0.8413,0.4148988352912412,-0.0065764064069662505,0.0035137085491770883
10,1234,0.8447000000000012,0.3803590860450346,-0.006795399906412999,0.0039194102859405125
11,1354,0.7927000000000001,0.37148131316621325,-0.011446895804955478,0.004334788586455158
12,1451,0.836200000000001,0.4131652886627961,-0.004258102597140368,0.003070879289740362
13,1556,0.9341000000000005,0.3647195906514959,-0.004790333508079653,0.0028363920800003758
14,1669,0.8610000000000005,0.3958430843640011,-0.005976080431819694,0.003160524215700907
15,1773,0.8029000000000007,0.35922974124749885,-0.00943971727068894,0.004717914446814547
16,1876,0.8804000000000006,0.38737186997964934,-0.007437868887848138,0.003890345813901507
17,1976,0.9337000000000006,0.4246057884545628,-0.008671708999329529,0.004287972272267846
18,2082,0.8195,0.4214092035954144,-0.009388225747277747,0.004499496615636296
19,2182,0.8826000000000002,0.38618259669507415,-0.006050281940516703,0.0033052987250325686
20,2281,0.8343000000000006,0.3756677273117721,-0.007788801809564515,0.004478063015078324
21,2381,0.9253000000000001,0.4030554294593886,-0.010012707723580315,0.004848358812617487
22,2476,0.9678000000000003,0.4007771288244752,-0.005036861311807455,0.0028221954807506806
23,2578,0.9309000000000002,0.39678614438504595,-0.008488895196581268,0.0036843718431150557
24,2676,0.8530000000000002,0.39555734841516205,-0.005305305526771229,0.002962888419222638
25,2775,0.9156999999999997,0.400458922366476,-0.007131761711580154,0.0035553761666661118
26,2870,0.9027000000000003,0.3716821576670985,-0.009584700697894404,0.004633315794503291
27,2968,0.9314000000000007,0.36432452176077873,-0.004721672271393299,0.002894063363297426
28,3060,0.8815000000000005,0.38721818172997763,-0.007661520122599329,0.003650348872562784
29,3160,0.8982000000000001,0.35055374047648535,-0.010992439873734343,0.0050243485191756344
30,3249,0.9430000000000004,0.36478122546169334,-0.005230081965442668,0.0026986902609349205
31,3340,0.9792000000000001,0.35898800878141784,-0.009772484485932435,0.003977177592721829
32,3438,0.9529000000000001,0.3946383976496526,-0.010488145958089681,0.004935624697118831
33,3538,0.8473000000000005,0.40889267521901834,-0.005286894507729849,0.0028816369734962033
34,3636,0.9583000000000006,0.35953759013019915,-0.006922099572016025,0.0028996577899208283
35,3725,0.8920000000000006,0.3590642190530754,-0.008026015453356253,0.003791992654879692
36,3829,0.9023000000000008,0.3624761566923425,-0.00729923102036644,0.0035832549195145575
37,3910,0.9407000000000003,0.34199430335451986,-0.008435949016493655,0.00397778129491041
