index,score,p_max_avg
248,1.153,0.39484215
249,1.1201,0.392537225
250,1.1667,0.407258258
251,0.9945,0.433854805
252,1.0837,0.409338021
253,1.1876,0.381864735
254,1.0874,0.389459696
255,1.0884,0.377794836
256,1.0907,0.377788757
257,1.0901,0.384264279
258,1.1064,0.390511746
259,1.1055,0.385758462
260,1.033,0.376280512
261,1.0116,0.399812609
262,1.1305,0.389817082
263,0.9922,0.396126143
264,1.0199,0.380130761
265,1.0619,0.397246681
266,0.9599,0.398740289
267,0.971,0.376126293
268,1.1072,0.361740189
269,0.9633,0.364961151
270,1.1888,0.372880454
271,1.0292,0.430221871
272,1.012,0.432687483
273,0.99,0.419979542
274,1.017,0.418754752
275,1.1535,0.415768576
276,1.1033,0.416915216
277,1.0371,0.40726997
278,1.0479,0.408558514
279,1.0327,0.433169734
280,1.0972,0.414956075
281,1.0361,0.384921213
282,1.2004,0.384983765
283,1.2005,0.390677749
284,1.1901,0.389361871
285,1.1374,0.415374436
286,1.0743,0.411856493
287,1.141,0.398504751
288,1.1059,0.412337746
289,1.0116,0.381559586
290,1.0857,0.373781945
291,1.1233,0.37247426
292,1.1029,0.375518038
293,1.1593,0.379880447
294,1.0634,0.381215241
295,1.0763,0.374806116
296,1.1459,0.389710512
297,1.16,0.403462908
298,1.0898,0.385762501
299,1.2848,0.374180473
300,1.1808,0.385373935
301,1.1732,0.414598825
302,1.2193,0.422881273
303,1.0966,0.387004814
304,1.0701,0.417655055
305,1.0148,0.396669524
306,1.0927,0.397563384
307,1.1251,0.390160911
308,1.1544,0.370494159
309,1.1268,0.375959879
310,1.0279,0.387341095
311,1.0689,0.374091256
312,1.1516,0.387277822
313,1.1488,0.388182942
314,1.2832,0.394294134
315,1.0241,0.359906135
316,1.1774,0.36701947
317,1.1623,0.377766948
318,1.2419,0.374184962
319,1.1233,0.371004964
320,1.14,0.360189753
321,1.0423,0.373838485
322,1.1048,0.37374576
323,1.0422,0.371912027
324,1.1214,0.389567504
325,1.1753,0.38932318
326,1.0668,0.380003199
327,1.1119,0.377529179
328,1.1708,0.378798969
329,1.1219,0.366226755
330,1.0277,0.363038935
331,1.0693,0.374587361
332,1.2402,0.36915506
333,1.0963,0.359813813
334,1.047,0.37963143
335,1.033,0.382211741
336,1.0775,0.362476986
337,1.0196,0.366165535
338,0.9708,0.366878243
339,0.9984,0.362451939
340,1.082,0.367679028
341,1.1069,0.367657137
342,1.0889,0.369566761
343,1.0889,0.375427314
344,1.121,0.378548671
345,1.1826,0.38547154
346,0.9938,0.366590925
347,1.0529,0.375163683
348,1.1407,0.39561857
349,1.1469,0.401307011
350,1.0944,0.406129921
351,1.089,0.389472099
352,1.1077,0.389585199
353,1.0567,0.383041306
354,1.0718,0.374474771
355,1.1134,0.383521377
356,1.1943,0.387187889
357,1.2854,0.388630533
358,1.1917,0.368336292
359,1.1133,0.361892758
360,1.0941,0.377510748
361,1.0269,0.41638591
362,1.0053,0.400317717
363,1.1354,0.394051888
364,1.3093,0.383090931
365,1.1306,0.388491934
366,1.0706,0.364698455
367,1.106,0.384279468
368,0.9994,0.398684469
369,1.1749,0.393100291
370,1.2417,0.371374838
371,1.219,0.385499954
372,1.2107,0.379328696
373,1.1085,0.385030714
374,1.0474,0.372083326
375,1.1202,0.378944307
376,1.1558,0.383064233
377,1.2468,0.393346338
378,1.2182,0.418754152
379,1.2436,0.413579348
380,1.2968,0.403068894
381,1.0956,0.381310531
382,1.1535,0.402603299
383,1.15,0.392945861
384,1.0505,0.385579009
385,1.1483,0.401497974
386,1.0421,0.380598508
387,1.1694,0.383865785
388,1.2133,0.398873507
389,1.0761,0.432440168
390,1.0582,0.430415933
391,1.0899,0.415950792
392,0.9883,0.430329231
393,1.0948,0.423869895
394,1.221,0.396737108
395,1.2301,0.39547037
396,1.1527,0.385771631
397,1.1207,0.382270819
398,1.1853,0.385748642
399,1.0076,0.414999598
400,1.0837,0.403413787
401,1.0887,0.3985881
402,1.2071,0.394490874
403,1.1786,0.38465603
404,1.2142,0.38809263
405,1.0886,0.374907669
406,1.3198,0.378723264
407,1.2052,0.380003329
408,1.1418,0.39913003
409,1.1988,0.409897299
410,1.2559,0.417689291
411,1.2044,0.395739269
412,1.0778,0.394199893
413,1.1587,0.379349613
414,1.2603,0.38976956
415,1.1696,0.397665461
416,1.1389,0.396417376
417,1.2179,0.380107112
418,1.1964,0.390440999
419,1.1337,0.396497298
420,1.3217,0.414113883
421,1.2536,0.403153574
422,1.141,0.413206682
423,1.2126,0.387037448
424,1.2977,0.382888059
425,1.2655,0.393463827
426,1.247,0.38927667
427,1.2224,0.39447279
428,1.216,0.397414424
429,1.2802,0.403235272
430,1.2577,0.397452693
431,1.3037,0.393749051
432,1.2945,0.393121874
433,1.1668,0.394164909
434,1.1022,0.400728511
435,1.1502,0.418810994
436,1.0599,0.389826147
437,1.0637,0.372156546
438,1.1413,0.376131082
439,1.1196,0.365491939
440,1.1976,0.380521047
441,1.3287,0.396079659
442,1.2647,0.398437628
443,1.1147,0.368857731
444,1.1283,0.361057771
445,1.1843,0.387336376
446,1.0394,0.387087368
447,1.1412,0.396955721
448,1.212,0.385333566
449,1.1937,0.383510682
450,1.0791,0.396098497
451,1.2027,0.398118551
452,1.0884,0.393887711
453,1.1128,0.410148681
454,1.063,0.38266184
455,1.1584,0.367847364
456,1.2561,0.376170035
457,1.1308,0.370499836
458,1.2225,0.365168601
459,1.267,0.377215828
460,1.2503,0.380890062
461,1.2603,0.386108293
462,1.1375,0.398293392
463,1.1493,0.383950678
464,1.1849,0.382167423
465,1.1115,0.40303553
466,1.2402,0.406491461
467,1.092,0.402952785
468,1.131,0.39531335
469,1.1766,0.384856784
470,1.1619,0.376825653
471,1.2512,0.383877847
472,1.2804,0.385314673
473,1.2307,0.381629835
474,1.2339,0.379105203
475,1.2394,0.392000447
476,1.2458,0.392953917
477,1.2525,0.394461074
478,1.2223,0.391920331
479,1.1349,0.388519407
480,1.2174,0.382201783
481,1.1464,0.394889539
482,1.1986,0.396093142
483,1.227,0.401112417
484,1.2174,0.401352086
485,1.3167,0.408465168
486,1.1934,0.39925477
487,1.0914,0.407472641
488,1.2727,0.409202871
489,1.2408,0.364988434
490,1.2393,0.366335144
491,1.3193,0.384521231
492,1.0859,0.368954786
493,1.2354,0.392347598
494,1.2918,0.392187593
495,1.3397,0.390321063
496,1.3137,0.384866417
497,1.1678,0.372626925
498,1.2066,0.383543682
499,1.2583,0.386576755
500,1.2802,0.387936914
501,1.2804,0.369545644
502,1.1615,0.375774579
503,1.1248,0.374362577
504,1.1225,0.371500259
505,1.0998,0.372888947
506,1.3311,0.375244335
507,1.12,0.39278737
508,1.1461,0.384966893
509,1.2204,0.382537989
510,1.2009,0.390729892
511,1.2,0.406333279
512,1.2283,0.398310813
513,1.198,0.39288374
514,1.1107,0.412251923
515,1.0041,0.405670722
516,1.1267,0.405738433
517,1.1029,0.39977459
518,1.1352,0.402867797
519,1.1803,0.378101509
520,1.137,0.369814676
521,1.244,0.381527144
522,1.2624,0.386262069
523,1.1076,0.37464701
524,1.2147,0.390582595
525,1.2435,0.409672941
526,1.1846,0.409443439
527,1.2289,0.406172782
528,1.1706,0.395910727
529,1.2148,0.398455185
530,1.1953,0.410482971
531,1.2492,0.395170489
532,1.1833,0.4034222
533,1.163,0.391340398
534,1.2027,0.399830905
535,1.215,0.403315884
536,1.2211,0.391056151
537,1.196,0.411010014
538,1.259,0.386076159
539,1.3476,0.40525233
540,1.237,0.408683284
541,1.1963,0.408762033
542,1.2397,0.398762436
543,1.2786,0.407225781
544,1.1318,0.396738684
545,1.286,0.395530633
546,1.2468,0.40404285
547,1.2248,0.405927153
548,1.2872,0.401434111
549,1.3025,0.403549139
550,1.4456,0.399684344
551,1.2314,0.394124502
552,1.1105,0.395081879
553,1.2225,0.389998102
554,1.4166,0.407671652
555,1.4114,0.400695086
556,1.3497,0.397408894
557,1.2053,0.407184742
558,1.3501,0.404406272
559,1.2313,0.372903719
560,1.2905,0.368378731
561,1.2682,0.379078573
562,1.3306,0.402964163
563,1.2133,0.389601061
564,1.2684,0.372565871
565,1.3522,0.404961823
566,1.2723,0.413411547
567,1.2027,0.406468061
568,1.1247,0.383993655
569,1.0406,0.381545165
570,1.1115,0.395802428
571,1.1695,0.392930116
572,1.1652,0.380961475
573,1.1801,0.377474817
574,1.2354,0.395550645
575,1.21,0.401699397
576,1.3273,0.396027664
577,1.4436,0.402515127
578,1.1595,0.392365559
579,1.3576,0.390288696
580,1.3352,0.379862668
581,1.434,0.390550306
582,1.3033,0.386004008
583,1.2532,0.383069133
584,1.2029,0.39547666
585,1.2189,0.412710842
586,1.1438,0.409879149
587,1.2131,0.417766683
588,1.3037,0.397632221
589,1.2649,0.386909076
590,1.2422,0.381254896
591,1.3055,0.382570616
592,1.2119,0.389421758
593,1.2171,0.400781577
594,1.294,0.403235894
595,1.3788,0.393361229
596,1.2951,0.403512748
597,1.2646,0.413662523
598,1.2353,0.388179981
599,1.2508,0.381496102
600,1.197,0.366502787
601,1.1414,0.358464956
602,1.1793,0.369729734
603,1.1229,0.382283948
604,1.2732,0.38695047
605,1.3067,0.387140124
606,1.2511,0.384002975
607,1.3729,0.388283432
608,1.2211,0.380945539
609,1.2225,0.394283314
610,1.2406,0.400826855
611,1.3298,0.400183194
612,1.3331,0.396963063
613,1.3775,0.392992794
614,1.3858,0.394444522
615,1.2894,0.396505532
616,1.3055,0.386681982
617,1.4372,0.388795041
618,1.3396,0.399947886
619,1.4385,0.400290047
620,1.3225,0.398574617
621,1.2217,0.403300077
622,1.2229,0.399385483
623,1.3347,0.39982153
624,1.2602,0.392751498
625,1.2146,0.398898485
626,1.1485,0.384785481
627,1.1831,0.392207893
628,1.21,0.376769887
629,1.2147,0.378482143
630,1.2349,0.387056091
631,1.2876,0.381606688
632,1.3685,0.377869753
633,1.3084,0.376050772
634,1.176,0.370632495
635,1.2641,0.367917625
636,1.4251,0.38489799
637,1.5077,0.386923831
638,1.4206,0.384446294
639,1.2038,0.371012566
640,1.2437,0.374209493
641,1.3245,0.393892409
642,1.5041,0.410260543
643,1.4627,0.407426934
644,1.3899,0.410822592
645,1.4379,0.41017937
646,1.2903,0.40712114
647,1.347,0.390374495
648,1.3387,0.388894037
649,1.3191,0.399794553
650,1.4485,0.401242025
651,1.377,0.392105464
652,1.4009,0.382621606
653,1.4825,0.390735133
654,1.3785,0.391405831
655,1.2557,0.38077091
656,1.2457,0.388924088
657,1.1168,0.388369059
658,1.3269,0.398468938
659,1.4629,0.390671804
660,1.3219,0.384223863
661,1.2981,0.402405242
662,1.3463,0.401290027
663,1.2752,0.397728387
664,1.3382,0.397936385
665,1.3615,0.38274766
666,1.2916,0.373055582
667,1.3068,0.377794271
668,1.2747,0.36706163
669,1.3467,0.373159589
670,1.241,0.383851343
671,1.3725,0.393192124
672,1.2885,0.417583806
673,1.3279,0.402108526
674,1.3967,0.388782113
675,1.2077,0.38049705
676,1.2755,0.374783763
677,1.3506,0.388642755
678,1.3449,0.392807106
679,1.378,0.38194462
680,1.4408,0.381143488
681,1.3118,0.383766077
682,1.2672,0.372635044
683,1.2304,0.379726054
684,1.277,0.392194856
685,1.2725,0.385528128
686,1.2493,0.376070483
687,1.2803,0.396869498
688,1.209,0.405570087
689,1.2754,0.399732433
690,1.3009,0.397879759
691,1.3137,0.379662496
692,1.1946,0.384780697
693,1.2208,0.394453147
694,1.2964,0.397284582
695,1.277,0.394997384
696,1.3096,0.398688803
697,1.2821,0.389581345
698,1.2126,0.400466543
699,1.2951,0.403337797
700,1.3358,0.38254638
701,1.3421,0.366595961
702,1.2842,0.364214145
703,1.2279,0.369758653
704,1.3446,0.381176653
705,1.3127,0.395165896
706,1.3142,0.405947629
707,1.3824,0.39985474
708,1.2343,0.400297389
709,1.2694,0.41209207
710,1.2726,0.397245677
711,1.2713,0.381560876
712,1.2475,0.380106899
713,1.3166,0.386798729
714,1.3938,0.386631552
715,1.371,0.390376675
716,1.2338,0.381956279
717,1.4182,0.379924556
718,1.3714,0.392522099
719,1.275,0.397294373
720,1.318,0.409274564
721,1.2417,0.40335746
722,1.3077,0.401669113
723,1.2252,0.397754255
724,1.1436,0.399581712
725,1.3022,0.394005513
726,1.337,0.394973173
727,1.2869,0.393430435
728,1.3039,0.386403186
729,1.2532,0.38452662
730,1.3402,0.383580746
731,1.3471,0.382436229
732,1.2402,0.389435398
733,1.4042,0.411133433
734,1.493,0.422347124
735,1.5112,0.415305833
736,1.3169,0.395095742
737,1.2857,0.399662491
738,1.3927,0.4162188
739,1.4357,0.410098806
740,1.3263,0.384164023
741,1.2258,0.370168407
742,1.2441,0.376196078
743,1.2966,0.386293266
744,1.3226,0.38897857
745,1.34,0.380940663
746,1.282,0.381775591
747,1.3683,0.391527278
748,1.2883,0.384700895
749,1.2558,0.381429005
750,1.291,0.383765526
751,1.2556,0.39927137
752,1.2684,0.401318362
753,1.3123,0.399753168
754,1.3058,0.389964012
755,1.3565,0.412318229
756,1.4249,0.430301505
757,1.2781,0.413201579
758,1.2625,0.404426796
759,1.254,0.400479274
760,1.3668,0.404063109
761,1.3683,0.409155932
762,1.3998,0.399427302
763,1.3065,0.407774447
764,1.2971,0.410887026
765,1.2402,0.408289996
766,1.4581,0.423586659
767,1.338,0.427575667
768,1.285,0.412031481
769,1.3582,0.42463595
770,1.4399,0.421474098
771,1.4653,0.41119982
772,1.4576,0.402623072
773,1.4459,0.408147026
774,1.4104,0.410799785
775,1.3296,0.410351007
776,1.3227,0.406857922
777,1.2529,0.405677509
778,1.2099,0.394318833
779,1.3845,0.391553333
780,1.2899,0.393260276
781,1.2927,0.404427847
782,1.3804,0.420824747
783,1.5105,0.425584297
784,1.3697,0.419996071
785,1.3741,0.413652227
786,1.4266,0.412888536
787,1.3404,0.401384187
788,1.3897,0.412894184
789,1.4158,0.41793131
790,1.4846,0.416200026
791,1.5041,0.422306237
792,1.4825,0.420170442
793,1.5013,0.426543575
794,1.5139,0.418504906
795,1.5,0.393525291
796,1.3767,0.390296101
797,1.4237,0.393690339
798,1.3768,0.414202233
799,1.4453,0.416614881
800,1.5578,0.411563169
801,1.5852,0.411501428
802,1.4168,0.409452807
803,1.557,0.394420803
804,1.4176,0.386447356
805,1.2725,0.380512093
806,1.4574,0.393815256
807,1.329,0.395637252
808,1.347,0.400929367
809,1.3569,0.402844106
810,1.1458,0.386511624
811,1.3211,0.379074027
812,1.4007,0.379762815
813,1.3096,0.381919098
814,1.2853,0.374431271
815,1.1684,0.380424354
816,1.2477,0.394629953
817,1.2155,0.417727231
818,1.36,0.413446447
819,1.1984,0.400875381
820,1.2911,0.398739861
821,1.4025,0.394917809
822,1.4466,0.404454688
823,1.3489,0.391948421
824,1.4741,0.39075875
825,1.5604,0.396121555
826,1.4607,0.388497319
827,1.4096,0.386975307
828,1.4047,0.397946144
829,1.5044,0.393878036
830,1.5513,0.391095787
831,1.4787,0.393553127
832,1.3966,0.403953668
833,1.442,0.385610203
834,1.3849,0.382198247
835,1.4119,0.382799031
836,1.4744,0.377035495
837,1.4424,0.39033824
838,1.4343,0.418756328
839,1.3911,0.426567084
840,1.5113,0.435754305
841,1.5699,0.421106761
842,1.4543,0.398734113
843,1.4019,0.404326701
844,1.4721,0.419613695
845,1.4585,0.423629346
846,1.4981,0.419729794
847,1.5858,0.417919156
848,1.5797,0.405811073
849,1.4552,0.409764266
850,1.5654,0.424922828
851,1.6169,0.416617361
